Date,Dividend
1982-03-08,0.006166
1982-06-28,0.006166
1982-09-27,0.006166
1982-11-29,0.006166
1983-03-07,0.006166
1983-07-01,0.006166
1983-10-07,0.006166
1983-12-12,0.006166
1984-03-08,0.006166
1984-06-07,0.006166
1984-09-13,0.006166
1984-12-04,0.006166
1985-03-05,0.006166
1985-05-30,0.006166
1985-09-10,0.006166
1985-12-09,0.006166
1986-03-12,0.006577
1986-06-02,0.006577
1986-09-15,0.006577
1986-12-02,0.006577
1987-03-09,0.006577
1987-06-01,0.006577
1987-09-16,0.006577
1988-01-12,0.006577
1988-04-13,0.008221
1988-07-11,0.008221
1988-10-07,0.008221
1989-01-09,0.008221
1989-04-10,0.009865
1989-07-10,0.009865
1989-10-06,0.009865
1990-01-08,0.009865
1990-04-06,0.01192
1990-07-09,0.01192
1990-10-05,0.01192
1991-01-14,0.01192
1991-04-08,0.014386
1991-07-08,0.014386
1991-10-07,0.014386
1992-01-06,0.014386
1992-04-06,0.017264
1992-07-06,0.017099
1992-10-05,0.017099
1993-01-05,0.017099
1993-04-05,0.020388
1993-07-02,0.020388
1993-10-06,0.020388
1994-01-04,0.020388
1994-04-11,0.024663
1994-07-05,0.024663
1994-10-07,0.024663
1995-01-03,0.024663
1995-04-07,0.029595
1995-07-06,0.029595
1995-10-11,0.029595
1995-12-29,0.029595
1996-04-10,0.036172
1996-07-10,0.036172
1996-10-09,0.036172
1997-01-08,0.036172
1997-04-09,0.043406
1997-07-09,0.043406
1997-10-15,0.043406
1998-01-07,0.043406
1998-04-07,0.051956
1998-07-22,0.051298
1998-10-07,0.051298
1999-10-07,0.052285
1999-11-12,0.207165
2000-12-06,0.207165
2001-12-05,0.207165
2002-12-11,0.207165
2003-12-10,0.207165
2004-12-08,0.23676
2005-12-08,0.266355
2006-12-13,0.305815
2007-12-05,0.35
2008-12-11,0.35
2009-12-10,0.35
2010-12-09,0.4
2011-12-14,0.6
2012-12-06,0.75
2013-12-12,0.86
2014-12-11,1.15
2015-07-01,0.66
2015-12-10,0.71
2016-07-07,0.71
2016-12-08,0.78
2017-07-06,0.78
2017-12-08,0.84
2018-07-06,0.84
2018-12-07,0.88
2019-07-05,0.88
2019-12-13,0.88
