Date,Dividend
1989-12-15,0.004167
1990-03-19,0.004167
1990-06-14,0.004167
1990-09-17,0.005
1990-12-17,0.005
1991-03-18,0.005
1991-06-17,0.005
1991-09-16,0.005556
1991-12-16,0.005556
1992-03-17,0.005556
1992-06-15,0.005556
1992-09-15,0.006222
1992-12-22,0.00625
1993-03-16,0.00625
1993-06-15,0.00625
1993-09-15,0.0075
1993-12-15,0.0075
1994-03-16,0.0075
1994-06-20,0.0075
1994-09-15,0.00875
1994-12-16,0.00875
1995-03-20,0.00875
1995-06-21,0.00875
1995-09-20,0.01
1995-12-20,0.01
1996-03-21,0.01
1996-06-21,0.01
1996-09-20,0.010833
1996-12-19,0.010833
1997-03-25,0.010833
1997-06-25,0.010833
1997-09-23,0.0125
1997-12-24,0.0125
1998-03-25,0.0125
1998-06-24,0.0125
1998-09-23,0.013333
1998-12-23,0.013333
1999-03-24,0.013333
1999-06-23,0.013333
1999-09-23,0.014167
1999-12-22,0.014167
2000-03-23,0.014167
2000-06-22,0.014167
2000-09-21,0.015
2000-12-20,0.015
2001-03-22,0.015
2001-06-21,0.01625
2001-09-21,0.01625
2001-12-20,0.01625
2002-03-26,0.0175
2002-06-21,0.0175
2002-09-23,0.0175
2002-12-20,0.0175
2003-03-26,0.02
2003-06-23,0.02
2003-09-23,0.0225
2003-12-22,0.0225
2004-03-24,0.0275
2004-04-29,0.3125
2004-06-23,0.0275
2004-09-22,0.0275
2004-12-21,0.0275
2005-03-23,0.035
2005-06-22,0.035
2005-09-22,0.035
2005-12-21,0.035
2006-03-23,0.045
2006-06-22,0.045
2006-09-21,0.045
2006-12-20,0.045
2007-03-28,0.055
2007-06-21,0.055
2007-09-21,0.055
2007-12-20,0.055
2008-03-27,0.065
2008-06-23,0.065
2008-09-23,0.065
2008-10-22,0.625
2008-12-22,0.065
2009-03-27,0.065
2009-06-23,0.07
2009-09-23,0.07
2009-12-22,0.07
2010-03-29,0.08
2010-06-28,0.08
2010-09-13,0.625
2010-09-28,0.08
2010-12-29,0.08
2011-03-29,0.09
2011-06-28,0.09
2011-09-28,0.09
2011-12-28,0.09
2012-04-05,0.105
2012-07-06,0.105
2012-10-05,0.105
2012-12-12,0.105
2013-04-08,0.12
2013-07-08,0.12
2013-10-08,0.12
2014-01-08,0.12
2014-04-08,0.12
2014-07-08,0.12
2014-10-08,0.13
2015-01-07,0.13
2015-04-08,0.13
2015-07-08,0.13
2015-10-07,0.13
2016-01-06,0.13
2016-04-13,0.13
2016-07-06,0.13
2016-10-12,0.13
2017-01-04,0.13
2017-04-12,0.13
2017-07-05,0.13
2017-10-12,0.13
2018-01-11,0.13
2018-04-12,0.13
2018-07-12,0.13
2018-10-11,0.13
2019-01-10,0.13
2019-04-12,0.13
2019-07-12,0.13
2019-10-10,0.13
2020-01-09,0.13
2020-04-09,0.13
2020-07-16,0.13
