Fund,Name,Ticker,Identifier,SEDOL,Weight,Sector,SharesHeld,LocalCurrency
SPY,MedtronicPlc,MDT,G5960L10,BTN1Y11,0.464935,HealthCare,13955022,USD
SPY,QualcommInc,QCOM,74752510,2714923,0.434935,InformationTechnology,11694411,USD
SPY,PhilipMorrisInternationalInc.,PM,71817210,B2PKRQ3,0.426325,ConsumerStaples,16157553,USD
SPY,HoneywellInternationalInc.,HON,43851610,2020459,0.419569,Industrials,7199706,USD
SPY,UnitedParcelServiceInc.ClassB,UPS,91131210,2517382,0.416391,Industrials,7498663,USD
SPY,Lindeplc,LIN,G5494J10,BZ12WP8,0.415765,Materials,5411907,USD
SPY,Bristol-MyersSquibbCompany,BMY,11012210,2126335,0.407753,HealthCare,23192106,USD
SPY,UnionPacificCorporation,UNP,90781810,2914734,0.406663,Industrials,6886781,USD
SPY,CitigroupInc.,C,17296742,2297907,0.401954,Financials,21429532,USD
SPY,NextEraEnergyInc.,NEE,65339F10,2328915,0.397613,Utilities,20289510,USD
SPY,OracleCorporation,ORCL,68389X10,2661568,0.395689,InformationTechnology,18833242,USD
SPY,AmgenInc.,AMGN,3116210,2023607,0.389903,HealthCare,5978492,USD
SPY,Lowe'sCompaniesInc.,LOW,54866110,2536763,0.379079,ConsumerDiscretionary,7328742,USD
SPY,MorganStanley,MS,61744644,2262314,0.375083,Financials,15431257,USD
SPY,IntuitInc.,INTU,46120210,2459020,0.367686,InformationTechnology,2834707,USD
SPY,StarbucksCorporation,SBUX,85524410,2842255,0.365102,ConsumerDiscretionary,12187637,USD
SPY,BoeingCompany,BA,9702310,2108601,0.36089,Industrials,5699140,USD
SPY,InternationalBusinessMachinesCorporation,IBM,45920010,2005973,0.358715,InformationTechnology,9248283,USD
SPY,RaytheonTechnologiesCorporation,RTX,7.55E+14,BM5M5Y3,0.358137,Industrials,15725251,USD
SPY,GoldmanSachsGroupInc.,GS,38141G10,2407966,0.34935,Financials,3526940,USD
SPY,AppliedMaterialsInc.,AMAT,3822210,2046552,0.346084,InformationTechnology,9497649,USD
SPY,BlackRockInc.,BLK,09247X10,2494504,0.34122,Financials,1469224,USD
SPY,AmericanTowerCorporation,AMT,03027X10,B7FBFL2,0.336609,RealEstate,4713979,USD
SPY,TargetCorporation,TGT,8.76E+14,2259101,0.329843,ConsumerDiscretionary,5128822,USD
SPY,CaterpillarInc.,CAT,14912310,2180201,0.325088,Industrials,5679092,USD
SPY,GeneralElectricCompany,GE,36960410,2380498,0.323128,Industrials,90748904,USD
SPY,3MCompany,MMM,88579Y10,2595708,0.31521,Industrials,5993873,USD
SPY,AdvancedMicroDevicesInc.,AMD,790310,2007849,0.31047,InformationTechnology,12596422,USD
SPY,Deere&Company,DE,24419910,2261203,0.303561,Industrials,3243724,USD
SPY,CharlesSchwabCorporation,SCHW,80851310,2779397,0.302175,Financials,15549400,USD
SPY,IntuitiveSurgicalInc.,ISRG,4.61E+64,2871301,0.300767,HealthCare,1227698,USD
SPY,AmericanExpressCompany,AXP,2581610,2026082,0.297846,Financials,6754414,USD
SPY,CVSHealthCorporation,CVS,12665010,2577609,0.296434,HealthCare,13649215,USD
SPY,ServiceNowInc.,NOW,81762P10,B80NXX8,0.294761,InformationTechnology,2046890,USD
SPY,CharterCommunicationsInc.ClassA,CHTR,16119P10,BZ6VT82,0.272213,CommunicationServices,1427737,USD
SPY,S&PGlobalInc.,SPGI,78409V10,BYV2325,0.271301,Financials,2491726,USD
SPY,AnthemInc.,ANTM,3675210,BSPHGL4,0.257033,HealthCare,2535231,USD
SPY,LockheedMartinCorporation,LMT,53983010,2522096,0.254661,Industrials,2535620,USD
SPY,BookingHoldingsInc.,BKNG,09857L10,BDRXDB4,0.247549,ConsumerDiscretionary,424054,USD
SPY,LamResearchCorporation,LRCX,51280710,2502247,0.247382,InformationTechnology,1479359,USD
SPY,MicronTechnologyInc.,MU,59511210,2588184,0.246016,InformationTechnology,11626055,USD
SPY,ZoetisInc.ClassA,ZTS,98978V10,B95WG16,0.245944,HealthCare,4918868,USD
SPY,FidelityNationalInformationServicesInc.,FIS,31620M10,2769796,0.244091,InformationTechnology,6429702,USD
SPY,AltriaGroupInc,MO,02209S10,2692632,0.243073,ConsumerStaples,19239482,USD
SPY,PrologisInc.,PLD,74340W10,B44WZD7,0.242621,RealEstate,7655535,USD
SPY,MondelezInternationalInc.ClassA,MDLZ,60920710,B8CKK03,0.241193,ConsumerStaples,14616702,USD
SPY,GileadSciencesInc.,GILD,37555810,2369174,0.237531,HealthCare,13008004,USD
SPY,StrykerCorporation,SYK,86366710,2853688,0.235106,HealthCare,3388130,USD
SPY,AutomaticDataProcessingInc.,ADP,5301510,2065308,0.233789,InformationTechnology,4429588,USD
