SYMBOL
SQ
SHOP
SE
PYPL
Z
PINS
JD
TWLO
MELI
ADYEN
TCEHY
COIN
SNAP
FB
OPEN
PDD
DOCU
ICE
INTU
SI
WDAY
TCSLI
BEKE
DKNG
BABA
DSY
PATH
LC
BILL
AMZN
TDOC
STNE
SCHW
KSPI
HDB
GOOG
EXAS
CDNA
PACB
REGN
FATE
VRTX
TWST
IONS
NVS
ACCD
VEEV
TAKUN
INCY
RHHBY
TXG
CRSP
SDGR
CSTL
IOVA
ADPT
NVTA
BLI
BEAM
CDXS
NTLA
BMY
PSNL
SGFY
PSTG
BFLY
ONEM
ARCTUQ
MASS
RXRX
VCYT
CLLS
RPTX
ABBV
CMLF
NSTG
MCRB
SEER
EDIT
ZY
AQB
SRPT
CERS
CGEN
SURF
DYNS
VERV
EVGN
DRNA
QSI
PSTI
ONVO
TSLA
ROKU
SQ
ZM
SPOT
U
PLTR
TWTR
IRDM
SKLZ
NTDOY
TER
TSP
PD
TWOU
PRLB
TRMB
SSYS
MTLS
KTOS
BIDU
LMT
NXPI
DDD
KMTUY
NIU
DE
BYDDY
NNDM
CAT
MGA
RAVN
ISRG
AVAV
TDY
ESLT
VUZI
SNPS
NVDA
BLDE
ANSS
ACIC
SPFR
PCAR
AONE
XONE
BZ
GLEO
GBTC
PTON
TTD
OKTA
RBLX
NET
ETSY
NFLX
HUYA
ADYEY
DIS
SNOW
PRNT
LHX
HO
BA
SPR
RTP
AIR
HON
HEI
GRMNU
